n_main,points_main,show_no_show,main_color,main_in_a_row,trial_no,broken,random
10,40,show,red,1,1,,0.521588744
19,90,noShow,red,1,2,,0.851564797
15,30,noShow,red,1,3,,0.894682988
10,80,show,blue,1,4,,0.262159984
10,60,noShow,blue,2,5,,0.725631265
19,40,noShow,blue,1,6,,0.952296697
10,50,show,blue,1,7,,0.110388279
10,60,noShow,blue,2,8,,0.529822738
19,90,noShow,blue,1,9,,0.009569671
10,80,noShow,blue,1,10,,0.229042794
19,60,noShow,blue,1,11,,0.859405657
15,80,show,blue,1,12,,0.889291177
10,70,show,blue,1,13,,0.115000065
19,30,show,red,1,14,,0.621015089
19,30,noShow,red,2,15,,0.851882833
15,50,noShow,red,1,16,,0.418040609
10,30,noShow,blue,1,17,,0.289275139
10,20,show,red,2,18,,0.22717068
19,30,show,red,1,19,,0.94632871
15,10,show,blue,1,20,,0.488312073
10,90,show,red,1,21,,0.101833974
19,80,noShow,blue,1,22,,0.512488676
10,80,noShow,blue,1,23,,0.065114327
15,10,show,red,1,24,,0.264535061
20,60,show,blue,1,25,,0.263264048
20,40,show,red,2,26,,0.795765002
10,90,noShow,blue,1,27,,0.355397113
15,20,show,blue,1,28,,0.253889866
10,40,show,red,1,29,,0.061627976
19,90,noShow,blue,1,30,,0.747959937
15,80,noShow,blue,1,31,,0.472207835
15,80,noShow,blue,2,32,,0.420782453
15,30,noShow,red,3,33,,0.625314096
19,10,show,blue,1,34,,0.576421038
19,40,show,red,2,35,,0.720791662
10,60,show,red,1,36,,0.212918395
10,70,noShow,blue,2,37,,0.597646361
15,90,noShow,blue,1,38,,0.547845077
19,20,show,blue,1,39,,0.936895475
15,90,show,blue,1,40,,0.214826811
19,90,noShow,red,1,41,,0.965715899
10,80,show,red,1,42,,0.511629454
19,40,show,red,1,43,,0.406546088
15,70,show,red,1,44,,0.04409921
19,60,show,red,1,45,,0.724372588
15,70,noShow,red,1,46,,0.12530486
15,50,noShow,red,2,47,,0.830964842
20,90,noShow,red,1,48,,0.536272162
10,90,noShow,red,1,49,,0.776042471
10,60,show,blue,2,50,,0.555028008
10,90,show,red,3,51,,0.327615857
15,20,noShow,blue,1,52,,0.226196844
19,60,show,blue,1,53,,0.968012236
15,90,show,red,1,54,,0.526653911
20,10,noShow,red,1,55,,0.724987153
19,50,noShow,red,1,56,,0.626902479
10,30,noShow,blue,1,57,,0.451049803
10,40,show,red,2,58,,0.736695011
19,90,show,blue,1,59,,0.956554692
19,40,noShow,blue,2,60,,0.831374833
10,90,noShow,red,1,61,,0.606705385
10,90,show,red,2,62,,0.797514625
19,80,noShow,red,1,63,,0.188481526
10,70,show,red,1,64,,0.518335129
15,80,noShow,red,1,65,,0.635365143
10,30,show,red,1,66,,0.087390245
15,50,show,red,1,67,,0.425955629
15,70,show,blue,2,68,,0.530018344
19,10,show,blue,1,69,,0.52310487
10,60,noShow,red,1,70,,0.10362197
15,90,noShow,red,1,71,,0.734671485
20,50,show,blue,1,72,,0.808114441
19,90,show,red,1,73,,0.512619115
15,20,show,blue,1,74,,0.175650127
19,50,show,red,1,75,,0.88681212
10,50,noShow,blue,1,76,,0.623449998
15,80,noShow,red,1,77,,0.391976304
10,20,noShow,blue,1,78,,0.685185317
15,50,noShow,blue,1,79,,0.194989907
19,20,noShow,red,1,80,,0.715651358
15,30,show,blue,1,81,,0.88467801
10,20,noShow,red,1,82,,0.261642981
19,80,noShow,red,1,83,,0.532955904
19,80,show,blue,2,84,,0.170945091
10,50,show,blue,1,85,,0.175476592
19,10,show,red,1,86,,0.773713892
19,10,noShow,red,2,87,,0.058488987
10,90,noShow,blue,1,88,,0.609415453
15,40,noShow,red,1,89,,0.138632219
19,60,noShow,blue,1,90,,0.321690931
15,30,noShow,blue,1,91,,0.951727978
19,20,show,red,1,92,,0.527452072
19,80,show,blue,2,93,,0.148766566
19,90,noShow,blue,3,94,,0.850211539
15,30,show,red,1,95,,0.561311019
20,70,noShow,blue,1,96,,0.446785915
10,30,noShow,blue,1,97,,0.449197469
10,90,show,red,2,98,,0.447364362
15,50,show,red,1,99,,0.711038415
19,20,noShow,red,1,100,,0.858425218
10,90,noShow,blue,1,101,,0.928614749
19,70,noShow,red,1,102,,0.873647603
15,20,noShow,red,1,103,,0.561376525
10,20,show,red,1,104,,0.817967158
20,20,show,red,1,105,,0.814184853
10,50,show,blue,1,106,,0.373055664
10,10,show,blue,2,107,,0.342971821
15,40,noShow,blue,1,108,,0.448175145
20,80,noShow,blue,1,109,,0.227647672
10,30,show,blue,1,110,,0.358609875
19,50,noShow,blue,1,111,,0.483446032
15,30,noShow,red,1,112,,0.535375816
19,30,noShow,red,1,113,,0.770695891
10,40,show,blue,1,114,,0.135937926
20,30,show,blue,1,115,,0.134094415
19,90,show,red,1,116,,0.868143621
15,30,show,blue,1,117,,0.30690381
20,80,show,blue,1,118,,0.431045845
15,50,noShow,blue,1,119,,0.869711439
10,40,noShow,red,1,120,,0.959905111
19,50,noShow,blue,1,121,,0.889698998
19,50,show,blue,2,122,,0.122215382
15,80,show,blue,1,123,,0.382618885
15,50,show,red,2,124,,0.321509104
15,90,noShow,red,3,125,,0.349346688
10,50,noShow,red,1,126,,0.240998709
15,70,show,red,1,127,,0.321073599
19,60,noShow,red,1,128,,0.505472914
15,50,noShow,blue,1,129,,0.396643559
20,20,noShow,blue,1,130,,0.003571464
19,40,show,blue,1,131,,0.032583555
15,70,show,red,1,132,,0.730528939
15,60,noShow,blue,2,133,,0.226993846
10,20,show,blue,1,134,,0.361244127
10,30,noShow,red,2,135,,0.864262054
10,90,show,blue,3,136,,0.013259833
19,20,show,blue,1,137,,0.515767745
19,80,noShow,red,2,138,,0.317720884
15,70,noShow,red,1,139,,0.845201993
10,30,show,red,1,140,,0.383024755
15,20,show,blue,1,141,,0.384317803
15,90,noShow,blue,2,142,,0.050734167
20,50,show,red,1,143,,0.029953405
10,40,noShow,red,1,144,,0.937043291
15,10,noShow,red,1,145,,0.385756669
10,80,show,red,1,146,,0.696972029
19,80,show,blue,1,147,,0.517539022
10,30,show,red,1,148,,0.204417042
19,50,show,blue,1,149,,0.810575126
20,60,noShow,blue,1,150,,0.511754716
19,10,show,red,1,151,,0.177044338
10,70,show,red,1,152,,0.531034258
15,60,noShow,red,1,153,,0.644406539
15,70,noShow,blue,2,154,,0.99870581
15,20,show,red,3,155,,0.408669951
10,70,noShow,red,1,156,,0.971715351
19,10,show,red,1,157,,0.323720079
15,80,show,red,1,158,,0.519702345
15,50,show,red,2,159,,0.848235904
15,60,noShow,blue,3,160,,0.481622607
19,70,noShow,red,1,161,,0.02995176
15,40,noShow,red,1,162,,0.841677257
19,30,noShow,blue,1,163,,0.783478821
15,60,noShow,red,1,164,,0.035870444
15,60,show,red,2,165,,0.638558979
